
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="Popular",="Side",="Sandwich",="Pizza",="Entre",="Desert",="Drink"

="$\Delta Ln(mw_kt)$",="0.0167**",="0.0119**",="0.0385***",="0.0213**",="0.0218***",="0.00877",="0.0101**"
="",="(0.00567)",="(0.00336)",="(0.00364)",="(0.00689)",="(0.00108)",="(0.00498)",="(0.00347)"

="$\Delta Ln(mw_kt-1)$",="0.0574**",="0.0107**",="0.0425**",="0.0326**",="0.0233***",="0.0167**",="0.0413**"
="",="(0.0208)",="(0.00265)",="(0.00953)",="(0.0103)",="(0.00285)",="(0.00653)",="(0.0110)"

="$\Delta Ln(mw_{kt-2}) $",="0.0515**",="0.0229**",="0.0504**",="0.0325**",="0.0213**",="0.0241*",="0.0362*"
="",="(0.0217)",="(0.00488)",="(0.0110)",="(0.00624)",="(0.00659)",="(0.0126)",="(0.0169)"

="Observations",="86259",="172901",="201821",="70966",="270068",="33805",="111161"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.001"
