
="",="NYC Large",="NYC Small",="NYC MSA",="Upstate",="CT",="NJ",="MA",="PA",="VT"

="chJul",="0.134",="0.152",="0.151",="-0.00314",="0.0670",="0.137",="0.119",="0.103",="-0.0382"
="",="(2.794)",="(2.548)",="(4.277)",="(1.787)",="(1.140)",="(4.137)",="(2.389)",="(4.153)",="(1.099)"

="chOct",="0.103",="0.143",="0.0518",="0.0200",="0.142",="0.120",="0.120",="0.0772",="0.265"
="",="(3.911)",="(3.086)",="(3.199)",="(2.722)",="(4.085)",="(2.749)",="(2.557)",="(2.485)",="(2.918)"

="chJan",="0.291",="0.196",="0.114",="0.0768",="0.00361",="0.0863",="0.260",="0.258",="0.00272"
="",="(3.526)",="(3.782)",="(4.360)",="(1.455)",="(0.161)",="(3.128)",="(2.981)",="(3.474)",="(1.131)"

="chFeb",="0.0568",="0.0817",="0.0306",="0.0170",="0",="0.0644",="0.0219",="0.0466",="0"
="",="(1.750)",="(1.589)",="(0.958)",="(1.587)",="(0)",="(3.435)",="(1.295)",="(1.115)",="(0)"

="Observations",="124244",="593316",="134680",="94104",="13524",="439642",="359332",="330220",="14392"

="mean coefficients; sd in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
