
="",="NYC Large",="NYC Small",="NYC MSA",="MA",="Upstate",="CT",="NJ",="PA"

="chJan",="0.321",="0.267",="0.237",="0.281",="0.0701",="0.0322",="0.112",="0.446"
="",="(2.078)",="(2.840)",="(2.213)",="(2.096)",="(2.297)",="(2.733)",="(1.870)",="(4.438)"

="chFeb",="0.293",="0.388",="0.181",="0.370",="0.454",="0.0253",="0.217",="0.264"
="",="(2.612)",="(3.094)",="(2.091)",="(2.618)",="(3.366)",="(1.668)",="(2.557)",="(2.786)"

="chMar",="0.534",="0.234",="0.104",="0.108",="0.182",="0.0965",="0.0858",="0.120"
="",="(3.673)",="(2.572)",="(1.731)",="(2.117)",="(3.077)",="(4.297)",="(2.154)",="(1.886)"

="Observations",="82115",="521764",="119421",="143102",="55084",="22986",="217892",="192193"

="mean coefficients; sd in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
