
="",="NYC Large",="NYC Small",="NYC MSA",="Upstate",="CT",="NJ",="MA",="PA",="VT"

="chJul",="0.834",="0.100",="-0.163",="-0.0358",="-0.673",="0.406",="-0.00169",="-0.106",="-0.0268"
="",="(8.280)",="(8.706)",="(12.86)",="(3.944)",="(5.650)",="(10.13)",="(7.098)",="(7.174)",="(1.446)"

="chOct",="-0.393",="0.220",="0.301",="0.396",="0.697",="0.222",="0.322",="0.0861",="-0.579"
="",="(12.49)",="(10.41)",="(9.269)",="(4.514)",="(8.393)",="(5.940)",="(7.876)",="(4.785)",="(4.081)"

="chJan",="0.770",="0.332",="0.345",="0.638",="0.0471",="0.702",="0.628",="0.701",="0.0452"
="",="(8.476)",="(11.86)",="(12.94)",="(6.260)",="(0.330)",="(8.654)",="(7.825)",="(7.782)",="(0.913)"

="chFeb",="0.143",="0.153",="0.636",="-0.00328",="0.00390",="0.219",="0.124",="0.207",="0"
="",="(8.773)",="(4.999)",="(7.504)",="(0.713)",="(0.0286)",="(5.804)",="(4.519)",="(5.002)",="(0)"

="Observations",="2176",="8696",="1612",="1404",="216",="5488",="5168",="3876",="192"

="mean coefficients; sd in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
